u,v,key,osmid,name,highway,length,access,width,geometry
83834794,3148162062,0,309480609,Apex,path,989.9227553789797,,,"LINESTRING (-111.531314 40.629679, -111.531024 40.630056, -111.5309 40.630211, -111.530879 40.630243, -111.530866 40.630274, -111.530849 40.630347, -111.530829 40.630436, -111.530807 40.630511, -111.530778 40.630577, -111.53075 40.630618, -111.530705 40.630667, -111.530623 40.630745, -111.530588 40.63077, -111.530552 40.630796, -111.530504 40.630826, -111.530484 40.630834, -111.530473 40.630842, -111.530467 40.630854, -111.53047 40.630866, -111.53048 40.630876, -111.530495 40.63088, -111.530508 40.630878, -111.530537 40.630871, -111.530567 40.630856, -111.530606 40.630835, -111.53074 40.63078, -111.530776 40.630768, -111.530789 40.630767, -111.530801 40.63077, -111.530804 40.63078, -111.530805 40.630795, -111.530798 40.630808, -111.530792 40.630817, -111.53077 40.630838, -111.530724 40.630892, -111.530662 40.630968, -111.530584 40.631056, -111.530551 40.631104, -111.530538 40.631132, -111.53053 40.631159, -111.530526 40.631193, -111.530524 40.631227, -111.530521 40.631288, -111.530525 40.631401, -111.530531 40.631415, -111.530552 40.631428, -111.530574 40.631429, -111.530592 40.631431, -111.53063 40.63142, -111.530705 40.631391, -111.530735 40.631367, -111.530806 40.631295, -111.530846 40.631267, -111.530864 40.63125, -111.530874 40.631241, -111.530877 40.631229, -111.53088 40.631212, -111.530889 40.631201, -111.530904 40.631197, -111.530917 40.631199, -111.530924 40.631206, -111.530924 40.631215, -111.530918 40.631236, -111.530911 40.63125, -111.530894 40.631272, -111.530876 40.631301, -111.530874 40.631315, -111.530874 40.631329, -111.53087 40.631352, -111.530852 40.631376, -111.530804 40.63146, -111.530692 40.631615, -111.53068 40.631638, -111.530664 40.631685, -111.530634 40.63174, -111.530552 40.631847, -111.530518 40.631885, -111.53047 40.631923, -111.530354 40.631994, -111.53015 40.632104, -111.529989 40.63214, -111.529882 40.632201, -111.529732 40.632242, -111.529356 40.632275, -111.529083 40.632262, -111.528879 40.632238, -111.52875 40.632214, -111.52868 40.632197, -111.52868 40.632234, -111.528739 40.632271, -111.528932 40.63234, -111.528975 40.632352, -111.529031 40.632364, -111.529038 40.632382, -111.529034 40.632393, -111.528995 40.632397, -111.528924 40.63239, -111.528892 40.632386, -111.528884 40.632403, -111.528892 40.632415, -111.528965 40.632453, -111.529113 40.632482, -111.529282 40.632526, -111.52942 40.632561, -111.529593 40.632594, -111.529706 40.632598, -111.529746 40.632605, -111.529781 40.632619, -111.529775 40.632642, -111.52977 40.632658, -111.529734 40.632671, -111.529675 40.632677, -111.529628 40.632687, -111.529613 40.632718, -111.529634 40.632736, -111.529714 40.632775, -111.529762 40.632789, -111.529998 40.632812, -111.530144 40.632812, -111.530184 40.632812, -111.530212 40.632828, -111.530231 40.632846, -111.530214 40.63287, -111.530175 40.6329, -111.530132 40.632911, -111.529974 40.632948, -111.529873 40.632961, -111.52972 40.632955, -111.529677 40.632945, -111.529636 40.632939, -111.529606 40.632944, -111.5296 40.632961, -111.529614 40.632979, -111.529642 40.633002, -111.529694 40.633025, -111.529866 40.63308, -111.529946 40.633114, -111.529974 40.633132, -111.529974 40.633162, -111.529968 40.633182, -111.52993 40.633208, -111.529838 40.633221, -111.529752 40.633234, -111.529724 40.633253, -111.529708 40.633283, -111.52971 40.6333, -111.529732 40.633341, -111.529793 40.633382, -111.529844 40.633415, -111.529877 40.633448, -111.529897 40.633503, -111.529884 40.633535, -111.529849 40.633566, -111.529799 40.633588, -111.529722 40.633601, -111.529656 40.633606, -111.529601 40.633606, -111.529553 40.633609, -111.529492 40.633598, -111.529433 40.633571, -111.529362 40.633556, -111.529297 40.633546)"
83834794,5058404584,0,309480609,Apex,path,1761.1428183995813,,,"LINESTRING (-111.531314 40.629679, -111.531314 40.629667, -111.53132 40.629655, -111.531332 40.629634, -111.53134 40.6296, -111.531345 40.629584, -111.531343 40.629576, -111.531334 40.629574, -111.531318 40.629582, -111.531279 40.629601, -111.531218 40.629627, -111.531064 40.629658, -111.53063 40.629856, -111.530594 40.629868, -111.530569 40.629871, -111.530558 40.629865, -111.530553 40.629846, -111.530566 40.629812, -111.530628 40.629736, -111.530729 40.629627, -111.530804 40.629541, -111.530851 40.629494, -111.53089 40.629463, -111.53093 40.629444, -111.530991 40.629413, -111.531043 40.629376, -111.531122 40.6293, -111.531139 40.629275, -111.531154 40.629247, -111.53116 40.629226, -111.531156 40.629215, -111.531148 40.629209, -111.531136 40.629206, -111.531121 40.629208, -111.531108 40.629216, -111.531098 40.629222, -111.531069 40.629229, -111.531035 40.629237, -111.530986 40.629245, -111.530926 40.629262, -111.530873 40.629277, -111.530777 40.629305, -111.530711 40.629315, -111.530691 40.629318, -111.53068 40.629319, -111.530675 40.629313, -111.530678 40.629307, -111.530692 40.629293, -111.53072 40.62927, -111.530733 40.629255, -111.530752 40.62924, -111.530779 40.629228, -111.530803 40.629221, -111.530826 40.629212, -111.530853 40.62919, -111.530901 40.629149, -111.530926 40.629132, -111.530943 40.629118, -111.530944 40.629104, -111.53094 40.629089, -111.530928 40.629076, -111.530915 40.629072, -111.530883 40.629069, -111.530851 40.629074, -111.530815 40.629082, -111.530769 40.629091, -111.53073 40.629093, -111.530702 40.629088, -111.530686 40.629077, -111.530676 40.629065, -111.53068 40.629049, -111.530693 40.629037, -111.530716 40.629027, -111.530744 40.62901, -111.530809 40.628971, -111.530926 40.628885, -111.531048 40.628816, -111.53113 40.628775, -111.531283 40.628657, -111.531411 40.628509, -111.531461 40.628436, -111.531524 40.628354, -111.531549 40.628308, -111.531565 40.628276, -111.53157 40.628214, -111.53159 40.62816, -111.531606 40.628086, -111.531627 40.627988, -111.531669 40.627697, -111.531677 40.627425, -111.531672 40.627347, -111.531665 40.627304, -111.531655 40.627285, -111.531627 40.627276, -111.531604 40.627281, -111.531561 40.62729, -111.531479 40.62733, -111.531307 40.627408, -111.531247 40.627438, -111.53122 40.62746, -111.531185 40.627498, -111.531174 40.627514, -111.531163 40.627523, -111.531147 40.627528, -111.531136 40.627531, -111.531129 40.62753, -111.531121 40.627528, -111.531116 40.627522, -111.531116 40.627516, -111.53112 40.627509, -111.531122 40.6275, -111.53112 40.627483, -111.531132 40.627438, -111.531132 40.627414, -111.531143 40.62737, -111.531146 40.627325, -111.531143 40.627311, -111.531136 40.627303, -111.531112 40.627302, -111.531087 40.627306, -111.531064 40.627305, -111.531045 40.627294, -111.531036 40.627279, -111.531027 40.627257, -111.531031 40.627211, -111.531038 40.627121, -111.53106 40.627078, -111.531076 40.62704, -111.531101 40.627003, -111.531225 40.626842, -111.531613 40.626618, -111.532042 40.626161, -111.532524 40.625622, -111.532673 40.625462, -111.53271 40.625404, -111.532722 40.625378, -111.532724 40.625347, -111.532725 40.625332, -111.532729 40.625314, -111.532767 40.625277, -111.532798 40.62523, -111.5329 40.625112, -111.532944 40.625046, -111.532969 40.625024, -111.53303 40.625001, -111.53307 40.624986, -111.533099 40.624967, -111.533157 40.624908, -111.533586 40.624586, -111.533673 40.62453, -111.533719 40.624488, -111.533737 40.624446, -111.533764 40.624413, -111.533984 40.62425, -111.534315 40.623936, -111.534454 40.623787, -111.534515 40.623715, -111.534546 40.62365, -111.534643 40.623516, -111.53473 40.623379, -111.534816 40.623198, -111.53488 40.623102, -111.534906 40.623061, -111.534964 40.622996, -111.535088 40.622902, -111.535171 40.622866, -111.535214 40.622853, -111.535271 40.622826, -111.535315 40.622806, -111.535352 40.622777, -111.535412 40.622693, -111.535466 40.622589, -111.535506 40.622544, -111.53553 40.622504, -111.535553 40.622464, -111.535624 40.622413, -111.535666 40.622383, -111.535701 40.622368, -111.535722 40.622359, -111.535746 40.622345, -111.535766 40.62232, -111.535777 40.622291, -111.535775 40.62227, -111.535772 40.622253, -111.535772 40.62224, -111.535784 40.622216, -111.535792 40.622201, -111.535822 40.622122, -111.535903 40.622015, -111.535936 40.621975, -111.535947 40.621951, -111.535955 40.621935, -111.535955 40.621924, -111.535948 40.621919, -111.535936 40.621918, -111.535909 40.621927, -111.535887 40.621943, -111.535872 40.621958, -111.535849 40.621988, -111.535824 40.622006, -111.535775 40.622016, -111.535693 40.622046, -111.53563 40.622081, -111.535614 40.622083, -111.5356 40.62208, -111.53559 40.62207, -111.53559 40.62206, -111.535593 40.622049, -111.535604 40.622034, -111.535859 40.62184, -111.535906 40.621798, -111.535957 40.621727, -111.535987 40.621687, -111.536004 40.621665, -111.536011 40.621645, -111.53601 40.621627, -111.536004 40.621605, -111.53599 40.621579, -111.535975 40.62156, -111.535959 40.621533, -111.535957 40.621516, -111.53596 40.621498, -111.535972 40.621482, -111.535995 40.621469, -111.536028 40.62146, -111.536104 40.621438, -111.536159 40.621414, -111.536186 40.621395, -111.536206 40.621371, -111.536234 40.621335, -111.536281 40.62128, -111.536326 40.621209, -111.536345 40.62117, -111.536348 40.621145, -111.53636 40.621124, -111.536437 40.620995, -111.536477 40.62093, -111.536541 40.620865, -111.537038 40.62055, -111.537167 40.62043, -111.537266 40.620282, -111.537453 40.62, -111.538116 40.619413)"
83834794,2790449253,0,309481196,Keystone Trail,path,1697.6629003828368,,,"LINESTRING (-111.531314 40.629679, -111.531722 40.629303, -111.532376 40.628664, -111.532752 40.628, -111.533791 40.626581, -111.534414 40.625918, -111.535057 40.625164, -111.535279 40.624939, -111.535474 40.624738, -111.535678 40.624509, -111.535939 40.624176, -111.536211 40.623949, -111.536524 40.62361, -111.537051 40.623342, -111.537525 40.623047, -111.539006 40.622045, -111.540274 40.621066, -111.540349 40.621003, -111.540368 40.620915, -111.540465 40.620824, -111.540551 40.62076, -111.540953 40.620427, -111.54146 40.619926, -111.541573 40.619791, -111.541817 40.619553, -111.542148 40.619273, -111.5425 40.619045, -111.542763 40.61888, -111.543039 40.618751, -111.543519 40.61855, -111.543776 40.618489, -111.544039 40.618365, -111.544206 40.618273)"
83834794,83834806,0,309481196,Keystone Trail,path,697.109351764962,,,"LINESTRING (-111.531314 40.629679, -111.530594 40.630375, -111.530207 40.630619, -111.5298 40.63079, -111.529477 40.63091, -111.529094 40.63094, -111.528901 40.630926, -111.528695 40.630896, -111.528378 40.63072, -111.528073 40.630506, -111.527586 40.63032, -111.527492 40.630273, -111.527236 40.630066, -111.526808 40.629739, -111.526656 40.629593, -111.526516 40.629359, -111.526055 40.628868, -111.525588 40.628639, -111.525387 40.628452, -111.525282 40.628362, -111.525181 40.628313)"
83834806,83834794,0,309481196,Keystone Trail,path,697.1093517649622,,,"LINESTRING (-111.525181 40.628313, -111.525282 40.628362, -111.525387 40.628452, -111.525588 40.628639, -111.526055 40.628868, -111.526516 40.629359, -111.526656 40.629593, -111.526808 40.629739, -111.527236 40.630066, -111.527492 40.630273, -111.527586 40.63032, -111.528073 40.630506, -111.528378 40.63072, -111.528695 40.630896, -111.528901 40.630926, -111.529094 40.63094, -111.529477 40.63091, -111.5298 40.63079, -111.530207 40.630619, -111.530594 40.630375, -111.531314 40.629679)"
83834806,3635410683,0,309481196,Keystone Trail,path,281.1883987135581,,,"LINESTRING (-111.525181 40.628313, -111.525006 40.62804, -111.52495 40.62794, -111.524904 40.627812, -111.524789 40.627555, -111.5247 40.627341, -111.52466 40.627215, -111.524639 40.627109, -111.524609 40.626859, -111.524564 40.626476, -111.524592 40.626274, -111.524678 40.626099, -111.524866 40.625924)"
83834806,3635410626,0,358640059,Three Candles,path,1184.8047241979134,,,"LINESTRING (-111.525181 40.628313, -111.525081 40.628302, -111.524984 40.628305, -111.524875 40.62833, -111.524628 40.628481, -111.524403 40.628663, -111.524188 40.628772, -111.523955 40.628922, -111.523892 40.628968, -111.523873 40.629021, -111.523932 40.629043, -111.524096 40.628986, -111.524155 40.628994, -111.524117 40.629048, -111.523909 40.62927, -111.523791 40.629368, -111.52369 40.62943, -111.523508 40.629493, -111.523485 40.629516, -111.523505 40.629564, -111.523551 40.629589, -111.523605 40.629597, -111.523669 40.629613, -111.523619 40.62968, -111.52355 40.629731, -111.523462 40.629762, -111.523359 40.629767, -111.523213 40.629715, -111.523055 40.629572, -111.523006 40.6295, -111.522919 40.629287, -111.522852 40.629007, -111.522866 40.628832, -111.522853 40.628785, -111.522798 40.628734, -111.52265 40.628719, -111.52251 40.628553, -111.52249 40.628505, -111.522501 40.628438, -111.522628 40.628217, -111.52269 40.628168, -111.522639 40.628101, -111.522588 40.628129, -111.522548 40.628196, -111.522478 40.628213, -111.522419 40.628089, -111.522371 40.628103, -111.522345 40.628167, -111.522253 40.628284, -111.52211 40.628374, -111.521884 40.628482, -111.5217 40.628643, -111.521276 40.628935, -111.521226 40.628988, -111.521187 40.629048, -111.521191 40.629092, -111.521217 40.629121, -111.52128 40.62917, -111.521372 40.629216, -111.521404 40.629257, -111.521389 40.629282, -111.521346 40.6293, -111.521234 40.62929, -111.521145 40.62929, -111.521101 40.629296, -111.521082 40.629324, -111.52111 40.629346, -111.521162 40.629389, -111.521207 40.629432, -111.521229 40.629469, -111.521216 40.629501, -111.521166 40.6295, -111.521086 40.629461, -111.521064 40.629451, -111.521044 40.629461, -111.521054 40.629484, -111.521101 40.629528, -111.521126 40.62956, -111.521108 40.629576, -111.521062 40.62957, -111.521007 40.629551, -111.520968 40.629558, -111.520945 40.629572, -111.520937 40.629603, -111.520944 40.629657, -111.520982 40.629681, -111.521046 40.629679, -111.521098 40.629677, -111.521138 40.629691, -111.521232 40.629862, -111.521349 40.629938, -111.521462 40.630011, -111.521933 40.630119, -111.522018 40.630146, -111.522133 40.630208, -111.522287 40.630364, -111.522382 40.630487, -111.522441 40.630584, -111.522266 40.630513, -111.52196 40.630468, -111.521554 40.630462, -111.521333 40.630475, -111.521123 40.630512, -111.520813 40.630539, -111.520769 40.630533, -111.520729 40.630539, -111.520662 40.630534)"
83834827,9898350489,0,1079868971,,track,29.582641146066862,,,"LINESTRING (-111.518787 40.632762, -111.518814 40.632599, -111.518826 40.632542, -111.518836 40.632499)"
83834827,9898350491,0,1343884061,Meadow Road,track,46.36523907566767,,,"LINESTRING (-111.518787 40.632762, -111.518763 40.632684, -111.51875 40.632657, -111.518733 40.632625, -111.518688 40.632575, -111.518664 40.632543, -111.518641 40.632484, -111.518631 40.632432, -111.518636 40.63237)"
83834827,9898350468,0,1343884061,Meadow Road,track,383.45907472941064,,,"LINESTRING (-111.518787 40.632762, -111.518849 40.63368, -111.518788 40.634327, -111.518743 40.634772, -111.518755 40.634978, -111.518814 40.635396, -111.518954 40.635827, -111.518989 40.635954, -111.519029 40.636056, -111.519054 40.63611, -111.519105 40.636169)"
