trail_name,sampled_length_miles,topography_sample_count,minimum_elevation_feet,maximum_elevation_feet,mean_elevation_feet,elevation_range_feet,mean_slope_degrees,median_slope_degrees,maximum_slope_degrees,north_facing_pct,east_facing_pct,south_facing_pct,west_facing_pct,final_area,latitude,longitude,distance_miles,source
Sam's Trail,0.9,80,8032.3,8261.1,8145.3,228.8,21.8,22.0,27.6,0.0,47.5,13.8,38.8,Deer Valley,40.61912724197413,-111.50964994268364,0.926673992414654,OpenStreetMap
Secret of My Success Trail,0.4,42,8228.9,8353.6,8293.6,124.7,19.1,20.0,25.2,0.0,59.5,40.5,0.0,Deer Valley,40.62597453280468,-111.48566192002252,0.4486417936052037,OpenStreetMap
Shenanigans,0.2,14,8225.2,8255.4,8237.7,30.3,16.3,16.2,19.8,0.0,0.0,85.7,14.3,Deer Valley,40.62034189886961,-111.49849814997506,0.1514953692023571,OpenStreetMap
Snowtop,1.7,137,7307.2,7590.1,7443.3,283.0,19.4,21.1,29.7,41.6,14.6,19.7,24.1,Deer Valley,40.64752229561398,-111.4705824068134,1.664563155031297,OpenStreetMap
Solamere,2.3,203,7128.6,7460.6,7304.0,332.0,20.7,21.1,32.5,14.8,80.3,3.0,2.0,Deer Valley,40.65168830951934,-111.47267426337083,2.341786068263191,OpenStreetMap
Solamere Connector,1.0,86,7128.4,7532.8,7331.1,404.4,18.6,20.2,27.4,0.0,0.0,15.1,84.9,Deer Valley,40.651338463153365,-111.4797751905619,1.0484842195683135,OpenStreetMap
Speedbag,0.8,68,7729.6,8257.2,7987.6,527.5,24.5,24.9,33.1,22.1,0.0,19.1,58.8,Deer Valley,40.624406811076895,-111.50919273225593,0.7900784204086114,OpenStreetMap
Spin Cycle Trail,1.8,143,6835.8,7600.6,7178.8,764.8,21.4,21.1,31.7,2.8,0.0,51.0,46.2,Deer Valley,40.63411801502942,-111.46082430079326,1.7561817703924287,OpenStreetMap
St. Regis Trail,0.3,34,7301.5,7454.4,7383.3,152.9,24.3,27.6,31.8,0.0,91.2,8.8,0.0,Deer Valley,40.639112933407205,-111.47591481144916,0.3466717522996909,OpenStreetMap
Sunset,1.2,111,8436.0,9053.2,8777.5,617.3,15.2,14.9,28.2,0.0,51.4,45.9,2.7,Deer Valley,40.61222429898699,-111.48546906629171,1.2461315775506032,OpenStreetMap
