weather_group_id,representative_latitude,representative_longitude,representative_elevation_feet,trail_count,minimum_elevation_feet,maximum_elevation_feet
WG025,40.64171272429878,-111.40053564270964,6530.0,1,6530.0,6530.0
WG030,40.64755940729975,-111.49861999854691,6988.0,1,6988.0,6988.0
WG038,40.62520958876211,-111.53395003281469,9146.4,1,9146.4,9146.4
WG039,40.63337906740186,-111.54644099265712,9084.9,1,9084.9,9084.9
WG043,40.65984634182248,-111.4368345884266,7139.2,1,7139.2,7139.2
WG048,40.65295946154777,-111.48775315119684,7538.9,1,7538.9,7538.9
WG049,40.65266965116334,-111.5117818738982,6980.8,1,6980.8,6980.8
WG052,40.65011049975458,-111.53932673410868,8429.2,1,8429.2,8429.2
WG054,40.65649532455427,-111.54475504732362,8753.8,1,8753.8,8753.8
WG056,40.699080350519786,-111.50674680507665,6485.7,1,6485.7,6485.7
WG061,40.68430916809496,-111.56849091879047,7666.2,1,7666.2,7666.2
WG062,40.68638148266805,-111.57139393545772,7468.3,1,7468.3,7468.3
WG065,40.70159189598121,-111.4765958017646,6731.2,1,6731.2,6731.2
WG069,40.71094932830698,-111.54449441430567,6453.0,1,6453.0,6453.0
WG073,40.72728013881357,-111.46748664430804,6513.4,1,6513.4,6513.4
WG079,40.72863077219642,-111.58102679054537,7392.0,1,7392.0,7392.0
WG080,40.74164553017363,-111.60031464541484,6827.9,1,6827.9,6827.9
WG081,40.73716048778493,-111.60234213265907,7289.1,1,7289.1,7289.1
WG083,40.751465442037045,-111.43628535405452,6858.8,1,6858.8,6858.8
WG088,40.76397899834495,-111.58866445905328,6467.6,1,6467.6,6467.6
WG091,40.7535574542296,-111.6313027356856,7111.8,1,7111.8,7111.8
WG092,40.77286580912175,-111.6406537725031,7571.3,1,7571.3,7571.3
WG093,40.75856130522611,-111.67962308025976,5873.5,1,5873.5,5873.5
WG094,40.75746633469589,-111.667341513995,6217.2,1,6217.2,6217.2
