date,trail_name,trail_latitude,trail_longitude,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precip_1d,precip_3d,precip_7d,mean_temp_3d,mean_temp_7d,freeze_thaw,freeze_thaw_3d,freeze_thaw_7d,snowfall_3d,snowfall_7d,days_since_precip,distance_miles,minimum_elevation_feet,maximum_elevation_feet,elevation_gain_feet,elevation_loss_feet,elevation_range_feet,sample_count
2023-01-02,Spiro Trail,40.64795199999999,-111.524792,23.4,17.8,20.3,0.165,0.0,1.157,0.165,1.819,1.819,23.450000000000003,23.450000000000003,0,0.0,0.0,12.732,12.732,0,3.1,6935.6,8185.2,1283.2,48.2,1249.6,250
2023-01-02,Tidal Wave,40.61150069999999,-111.4904225,22.3,16.7,19.6,0.193,0.0,1.35,0.193,1.921,1.921,22.65,22.65,0,0.0,0.0,13.448,13.448,0,2.7,8128.9,9254.0,5.3,1120.5,1125.1,217
2023-01-03,9K Trail,40.6156847,-111.5370738,13.3,9.1,12.0,0.165,0.0,1.157,0.165,2.145,2.145,18.0,18.0,0,0.0,0.0,15.047,15.047,0,4.7,9101.3,9443.5,623.0,487.0,342.2,383
2023-01-03,Apex,40.6249077,-111.5331572,13.9,9.6,12.5,0.165,0.0,1.157,0.165,2.145,2.145,18.566666666666666,18.566666666666666,0,0.0,0.0,15.047,15.047,0,2.2,8754.8,9605.0,33.7,843.5,850.2,179
2023-01-03,Armstrong,40.6520798,-111.52831220000002,22.0,15.9,19.5,0.15,0.004,1.02,0.15,1.9689999999999999,1.9689999999999999,23.633333333333336,23.633333333333336,0,0.0,0.0,13.751999999999999,13.751999999999999,0,3.0,6947.7,7900.9,10.6,956.3,953.2,243
2023-01-03,Big Easy,40.68756230000001,-111.4890656,24.2,15.7,20.8,0.122,0.0,0.882,0.122,1.653,1.653,23.666666666666668,23.666666666666668,0,0.0,0.0,11.575000000000001,11.575000000000001,0,1.2,6758.6,6824.3,86.4,30.1,65.6,94
2023-01-03,CMG,40.64492680000001,-111.5159166,19.8,13.6,17.2,0.15,0.004,1.02,0.15,1.9689999999999999,1.9689999999999999,21.366666666666664,21.366666666666664,0,0.0,0.0,13.751999999999999,13.751999999999999,0,2.9,7013.4,8235.3,3.6,1214.5,1221.9,238
2023-01-03,Cyn City,40.62087939999999,-111.5211681,17.2,11.1,14.6,0.15,0.004,1.02,0.15,1.9689999999999999,1.9689999999999999,18.8,18.8,0,0.0,0.0,13.751999999999999,13.751999999999999,0,2.6,8371.9,9047.9,11.3,675.5,676.0,212
2023-01-03,Empire Link,40.624661,-111.5080778,20.0,14.8,18.0,0.169,0.008,1.13,0.169,2.09,2.09,22.099999999999998,22.099999999999998,0,0.0,0.0,14.578000000000001,14.578000000000001,0,2.2,7855.6,8275.8,544.3,208.7,420.2,179
2023-01-03,Flagstaff Loop,40.60789630000001,-111.4971378,16.9,11.8,14.9,0.169,0.008,1.13,0.169,2.09,2.09,19.0,19.0,0,0.0,0.0,14.578000000000001,14.578000000000001,0,2.2,8782.4,8935.8,230.3,236.2,153.4,181
2023-01-03,Jenni's Trail upper,40.6395667,-111.5112078,21.3,16.2,19.3,0.169,0.008,1.13,0.169,2.09,2.09,23.400000000000002,23.400000000000002,0,0.0,0.0,14.578000000000001,14.578000000000001,0,3.1,7491.0,8170.4,150.1,805.3,679.5,253
2023-01-03,Keystone Trail,40.62398249999998,-111.5280761,14.7,10.4,13.3,0.165,0.0,1.157,0.165,2.145,2.145,19.366666666666664,19.366666666666664,0,0.0,0.0,15.047,15.047,0,2.6,8568.0,9029.7,99.2,553.8,461.7,211
2023-01-03,Lost Prospector,40.65901600000001,-111.490176,23.4,15.0,20.1,0.122,0.0,0.882,0.122,1.653,1.653,22.900000000000002,22.900000000000002,0,0.0,0.0,11.575000000000001,11.575000000000001,0,3.2,6868.8,7160.7,336.0,271.2,291.9,256
2023-01-03,Mid-Mountain Trail,40.62806400000001,-111.51399,18.5,12.4,16.0,0.15,0.004,1.02,0.15,1.9689999999999999,1.9689999999999999,20.133333333333333,20.133333333333333,0,0.0,0.0,13.751999999999999,13.751999999999999,0,7.4,8096.5,8520.7,868.9,751.7,424.2,597
2023-01-03,Mother Urban,40.63643319999999,-111.5009833,21.3,16.2,19.3,0.169,0.008,1.13,0.169,2.09,2.09,23.400000000000002,23.400000000000002,0,0.0,0.0,14.578000000000001,14.578000000000001,0,2.4,7664.3,8279.0,46.4,639.4,614.7,192
2023-01-03,Rambler,40.69544569999999,-111.4874682,24.3,15.8,20.9,0.122,0.0,0.882,0.122,1.653,1.653,23.7,23.7,0,0.0,0.0,11.575000000000001,11.575000000000001,0,2.1,6766.9,7064.2,131.3,319.7,297.3,167
2023-01-03,Ripple Trail,40.63461739999999,-111.47774560000002,21.3,16.2,19.3,0.169,0.008,1.13,0.169,2.09,2.09,23.400000000000002,23.400000000000002,0,0.0,0.0,14.578000000000001,14.578000000000001,0,2.3,7239.6,7860.8,5.0,621.8,621.3,189
2023-01-03,Round Valley Express,40.68866779999999,-111.4899257,24.1,15.6,20.7,0.122,0.0,0.882,0.122,1.653,1.653,23.5,23.5,0,0.0,0.0,11.575000000000001,11.575000000000001,0,1.3,6716.9,6963.5,250.4,26.0,246.6,104
