trail_name,segment_count,total_length_meters,total_length_miles
Io Trail (Middle),1,106.9,0.07
Corvair Access,2,101.3,0.06
Sweeneys Connector,1,100.2,0.06
Two Step,1,95.2,0.06
Empire Upper Access,1,88.8,0.06
Runnel,1,85.7,0.05
Walk the Line,1,84.4,0.05
Deer Crest Connect,1,81.2,0.05
Elks to Barrel Roll,2,81.2,0.05
Empire Link Access,1,73.3,0.05
Riser,2,73.2,0.05
Stiff Upper Lip Access,2,72.2,0.04
Super G Connect,1,72.0,0.04
Silver Strike Trail,1,66.8,0.04
Fireswamp,1,66.7,0.04
Ontario Loop Cutoff,1,66.0,0.04
Loose Moose Connect,1,65.5,0.04
Bow Hunter Connect Road,1,63.9,0.04
Ability Way Connector,1,62.3,0.04
Deer Camp Cutoff,1,62.1,0.04
Naildriver (Lower),2,57.1,0.04
To Deer Camp,2,56.4,0.04
Round Valley Express / Ability Way Trail,1,53.8,0.03
Old Ranch Access,1,53.2,0.03
Bow Hunter Connect,1,52.8,0.03
Flagstaff,2,47.3,0.03
Elks Connect,1,42.5,0.03
Empire Pass Connector,1,32.9,0.02
Meadow Road / Thaynes Road,1,32.5,0.02
Gap to Deer Crest,1,19.1,0.01
CMG Access,1,18.4,0.01
Jenni's Trail lower,1,11.3,0.01
