trail_name,final_area,latitude,longitude,mean_elevation_feet,latitude_grid,longitude_grid,elevation_band,weather_group_key,weather_group_id,representative_latitude,representative_longitude,representative_elevation_feet,trail_count,minimum_elevation_feet,maximum_elevation_feet,elevation_difference_from_group_feet
Payroll,Deer Valley,40.61095393430099,-111.5094443089702,8630.4,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,151.85714285714312
Sunset,Deer Valley,40.61222429898699,-111.48546906629171,8777.5,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,4.757142857142753
Super G,Deer Valley,40.6078734147108,-111.486644562986,8939.8,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,157.54285714285652
Team Big Bear,Deer Valley,40.61639926546102,-111.50010669410356,8610.0,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,172.25714285714275
Thieves Forest,Deer Valley,40.61553068086176,-111.48245627012813,8597.7,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,184.55714285714203
Tidal Wave,Deer Valley,40.610548014761406,-111.48897388892838,8737.9,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,44.35714285714312
Tour De Suds (Upper),Deer Valley,40.614682713092186,-111.50609195133156,8563.5,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,218.75714285714275
Trump,Deer Valley,40.60903529522874,-111.4964159868453,8771.6,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,10.65714285714239
Tsunami,Deer Valley,40.61166268615432,-111.48706860055302,8747.8,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,34.45714285714348
Tug of War Trail,Deer Valley,40.60218815889535,-111.4963014769127,8962.3,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,180.04285714285652
Twist and Shout,Deer Valley,40.61146669404505,-111.486662413967,8799.9,1624,-3717,17,1624_-3717_17,WG013,40.610814436427205,-111.49398474023121,8782.257142857143,21,8563.5,8996.4,17.642857142856883
Bow Hunter,Deer Valley,40.60108596513679,-111.48484426536052,9020.3,1624,-3717,18,1624_-3717_18,WG014,40.60622522843789,-111.48265166343101,9046.5,2,9020.3,9072.7,26.200000000000728
