distance_meters,distance_miles,elevation_meters,elevation_feet
1020.0,0.6337986160820807,2349.458984375,7708.199014296875
1040.0,0.6462260399268273,2350.378173828125,7711.214727822266
1060.0,0.658653463771574,2345.537353515625,7695.332770908203
1080.0,0.6710808876163207,2344.669677734375,7692.486065498047
1100.0,0.6835083114610674,2348.10498046875,7703.756744121094
1120.0,0.695935735305814,2342.232666015625,7684.490619970703
1140.0,0.7083631591505607,2343.1943359375,7687.645705117187
1160.0,0.7207905829953074,2342.48828125,7685.32925265625
1180.0,0.7332180068400541,2339.236572265625,7674.660915751953
1200.0,0.7456454306848007,2337.929931640625,7670.3740369238285
1220.0,0.7580728545295474,2333.75244140625,7656.668359863281
1240.0,0.7705002783742941,2333.145751953125,7654.677908837891
1260.0,0.7829277022190407,2332.175537109375,7651.494789169922
1280.0,0.7953551260637874,2328.071044921875,7638.028607021484
1300.0,0.8077825499085342,2328.37841796875,7639.037048808594
1320.0,0.8202099737532809,2325.36279296875,7629.143265683594
1340.0,0.8326373975980275,2322.89111328125,7621.034080097656
1360.0,0.8450648214427742,2324.198486328125,7625.323361884765
1380.0,0.8574922452875209,2323.951416015625,7624.512763720703
1400.0,0.8699196691322675,2320.758056640625,7614.035862548828
1420.0,0.8823470929770142,2320.97509765625,7614.747939394531
1440.0,0.8947745168217609,2319.88671875,7611.17714234375
1460.0,0.9072019406665076,2321.21435546875,7615.532905996094
1480.0,0.9196293645112542,2317.994140625,7604.967896328125
1500.0,0.9320567883560009,2318.423583984375,7606.376831279297
1520.0,0.9444842122007476,2318.831787109375,7607.716080419922
1540.0,0.9569116360454942,2316.056396484375,7598.610467841797
1560.0,0.9693390598902409,2314.339599609375,7592.977931982422
1580.0,0.9817664837349876,2312.431396484375,7586.717422841797
1600.0,0.9941939075797344,2313.029052734375,7588.678237373047
1620.0,1.006621331424481,2310.261474609375,7579.598256357422
1640.0,1.0190487552692278,2310.083251953125,7579.01353633789
1660.0,1.0314761791139744,2310.130615234375,7579.168927685547
1680.0,1.043903602958721,2306.178466796875,7566.202561005859
1700.0,1.0563310268034678,2308.75634765625,7574.660175644532
1720.0,1.0687584506482144,2305.22705078125,7563.081117285156
1740.0,1.081185874492961,2301.74853515625,7551.668664082031
1760.0,1.0936132983377078,2300.8720703125,7548.793123164062
1780.0,1.1060407221824544,2302.9482421875,7555.604710898438
1800.0,1.118468146027201,2297.806396484375,7538.735137841797
1820.0,1.1308955698719478,2298.265625,7540.241793125
1840.0,1.1433229937166944,2296.05908203125,7533.002478691406
1860.0,1.1557504175614413,2295.942138671875,7532.618806240234
1880.0,1.1681778414061879,2293.68505859375,7525.2136876367185
1900.0,1.1806052652509345,2292.397705078125,7520.990086728516
1920.0,1.1930326890956813,2291.564453125,7518.256320390625
1940.0,1.2054601129404279,2290.177978515625,7513.707519033203
1960.0,1.2178875367851745,2291.19091796875,7517.030811308594
1980.0,1.2303149606299213,2287.75048828125,7505.743311972657
2000.0,1.242742384474668,2288.049560546875,7506.7245202246095
2020.0,1.2551698083194145,2286.568115234375,7501.864135185547
2040.0,1.2675972321641613,2283.828125,7492.874665625
2060.0,1.280024656008908,2282.059814453125,7487.073121650391
2080.0,1.2924520798536545,2285.955322265625,7499.853659501953
2100.0,1.3048795036984013,2284.860595703125,7496.262036806641
2120.0,1.317306927543148,2278.033935546875,7473.864857099609
2140.0,1.3297343513878948,2279.178466796875,7477.6198810058595
2160.0,1.3421617752326414,2278.135009765625,7474.196465439453
2180.0,1.354589199077388,2274.92041015625,7463.649878457031
2200.0,1.3670166229221348,2276.508544921875,7468.860294521484
