date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precip_1d,precip_3d,precip_7d,mean_temp_3d,mean_temp_7d,freeze_thaw,freeze_thaw_3d,freeze_thaw_7d,snowfall_3d,snowfall_7d,days_since_precip
2026-01-10,32.6,6.2,17.6,0.0,0.0,0.0,0.0,0.10300000000000045,1.1849999999999996,17.09999999999999,23.985714285714288,1,1.0,4.0,0.6890000000000027,8.156999999999998,1
2026-01-11,44.0,19.7,29.6,0.0,0.0,0.0,0.0,0.024000000000000445,0.6929999999999995,20.333333333333325,23.185714285714287,1,2.0,5.0,0.16500000000000267,4.794999999999998,2
2026-01-12,46.8,24.7,33.1,0.0,0.0,0.0,0.0,0.0,0.3349999999999996,26.766666666666662,23.585714285714285,1,3.0,5.0,0.0,2.3149999999999986,3
2026-01-13,46.9,26.9,34.6,0.0,0.0,0.0,0.0,0.0,0.3349999999999996,32.43333333333333,24.900000000000002,1,3.0,5.0,0.0,2.3149999999999986,4
2026-01-14,47.1,26.8,33.8,0.0,0.0,0.0,0.0,0.0,0.10299999999999956,33.83333333333332,26.057142857142857,1,3.0,5.0,0.0,0.6889999999999987,5
2026-01-15,46.2,21.8,30.6,0.0,0.0,0.0,0.0,0.0,0.023999999999999556,32.99999999999999,27.585714285714285,1,3.0,6.0,0.0,0.16499999999999868,6
2026-01-16,38.3,17.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,30.06666666666666,29.300000000000004,1,3.0,7.0,0.0,0.0,7
2026-01-17,39.7,16.3,24.8,0.0,0.0,0.0,0.0,0.0,0.0,27.06666666666666,30.32857142857143,1,3.0,7.0,0.0,0.0,8
2026-01-18,45.8,19.8,28.9,0.0,0.0,0.0,0.0,0.0,0.0,26.49999999999999,30.228571428571428,1,3.0,7.0,0.0,0.0,9
2026-01-19,38.8,13.6,24.1,0.0,0.0,0.0,0.0,0.0,0.0,25.933333333333326,28.942857142857143,1,3.0,7.0,0.0,0.0,10
