date,trail_name,final_area,weather_group_id,trail_latitude,trail_longitude,trail_elevation_feet,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum
2026-08-26,Deep Park Circle,Jordanelle,WG026,40.626894083286025,-111.43587347972714,6383.2,3,84.0,59.7,72.1,0.0,0.0,0.0
2026-08-26,Deer Camp,Deer Valley,WG013,40.60519585339864,-111.4911066437841,8920.6,3,72.1,55.0,62.9,0.0,0.0,0.0
2026-08-26,Deer Crest,Deer Valley,WG029,40.63553157935396,-111.47424740401932,7612.2,3,77.2,60.0,68.5,0.0,0.0,0.0
2026-08-26,Devo,Deer Valley,WG032,40.6296740826892,-111.48374523511592,7963.4,3,76.8,59.6,68.1,0.0,0.0,0.0
2026-08-26,Discovery,Summit Park,WG078,40.74903521550762,-111.59463162387972,6614.4,3,83.0,57.1,70.9,0.0,0.0,0.0
2026-08-26,Downward Dog,Round Valley,WG057,40.68865758594976,-111.48489883261024,6958.5,3,80.9,54.1,68.7,0.0,0.0,0.0
2026-08-26,Dropout,Jeremy Ranch / Glenwild,WG077,40.74673233142679,-111.55449028155309,6576.0,3,81.5,57.5,69.8,0.0,0.0,0.0
2026-08-26,Dubois,Jeremy Ranch / Glenwild,WG059,40.698630398586985,-111.55581872982933,6878.9,3,81.9,54.2,68.9,0.0,0.0,0.0
2026-08-26,Eagle Cove,Round Valley,WG057,40.68665016051084,-111.49786169389527,6799.6,3,80.9,54.1,68.7,0.0,0.0,0.0
2026-08-26,Eagle Trail,Park City / PCMR,WG051,40.65138382915936,-111.51929067308184,7664.9,3,77.9,60.5,69.1,0.0,0.0,0.0
2026-08-26,Eagle Way,Park City / PCMR,WG048,40.65295946154777,-111.48775315119684,7538.9,3,77.6,60.4,69.0,0.0,0.0,0.0
2026-08-26,East Fallen Pines Lane,Park City / PCMR,WG022,40.61551642366452,-111.57912837068116,8712.4,3,72.5,54.7,63.1,0.0,0.0,0.0
2026-08-26,Easy Rider,Park City / PCMR,WG009,40.59580193116481,-111.57632308440664,9141.3,3,70.4,53.1,61.0,0.0,0.0,0.0
2026-08-26,Ecker Hill Trail,Pinebrook,WG076,40.740364526144575,-111.5667817840803,6401.3,3,82.2,58.3,70.5,0.0,0.0,0.0
2026-08-26,Empire Alternate,Deer Valley,WG032,40.62635819528807,-111.50016350153602,7943.1,3,76.8,59.6,68.1,0.0,0.0,0.0
2026-08-26,Empire Link,Deer Valley,WG012,40.62422557470265,-111.50748256286928,8022.2,3,73.9,57.6,65.7,0.0,0.0,0.0
2026-08-26,Empire Lodge,Deer Valley,WG015,40.61442062316093,-111.51298418240138,8439.2,3,73.7,58.8,65.6,0.0,0.0,0.0
2026-08-26,Empire Pass Connector,Deer Valley,WG016,40.60627316294136,-111.51481095351645,8948.4,3,72.0,54.9,62.8,0.0,0.0,0.0
2026-08-26,Equestrian,Round Valley,WG067,40.70215181343843,-111.50219785223597,6719.1,3,83.0,55.5,69.4,0.0,0.0,0.0
2026-08-26,Euston,Round Valley,WG047,40.65772556817424,-111.48315877249176,7062.9,3,80.0,57.9,69.7,0.0,0.0,0.0
2026-08-26,Evil Empire,Park City / PCMR,WG016,40.61923823662483,-111.52513988679308,8746.8,3,72.0,54.9,62.8,0.0,0.0,0.0
2026-08-26,Fairway Hills Trail,Round Valley,WG055,40.67853348641883,-111.47699791832557,6747.4,3,82.2,55.5,69.3,0.0,0.0,0.0
2026-08-26,Family Truckster Trail,Clark Ranch,WG044,40.66038172048119,-111.452885753204,6847.4,3,82.1,56.7,69.6,0.0,0.0,0.0
2026-08-26,Fast Pitch Trail,Round Valley,WG055,40.6798165110769,-111.47671870073196,6759.1,3,82.2,55.5,69.3,0.0,0.0,0.0
2026-08-26,Fat Lip,Park City / PCMR,WG016,40.62192963761681,-111.5279713594279,8931.1,3,72.0,54.9,62.8,0.0,0.0,0.0
2026-08-26,Field Stone,Round Valley,WG067,40.71706243943152,-111.49059329339536,6526.3,3,83.0,55.5,69.4,0.0,0.0,0.0
2026-08-26,Fink Again,Jeremy Ranch / Glenwild,WG086,40.75125285000831,-111.55541181172696,6586.2,3,81.3,57.4,69.7,0.0,0.0,0.0
2026-08-26,Finns,Deer Valley,WG028,40.640763495812735,-111.47689190658058,7214.2,3,78.5,61.3,69.9,0.0,0.0,0.0
2026-08-26,Fireswamp,Deer Valley,WG013,40.61340925382439,-111.48239833860336,8873.0,3,72.1,55.0,62.9,0.0,0.0,0.0
2026-08-26,First Time,Park City / PCMR,WG050,40.65050878239233,-111.51048291433958,7041.1,3,80.4,58.3,70.1,0.0,0.0,0.0
2026-08-26,First Time Return,Park City / PCMR,WG050,40.65021414919943,-111.51090683334832,7073.8,3,80.4,58.3,70.1,0.0,0.0,0.0
2026-08-26,Flagstaff Loop,Deer Valley,WG013,40.60758047007656,-111.496735533601,8898.0,3,72.1,55.0,62.9,0.0,0.0,0.0
2026-08-26,Flat Cable,Park City / PCMR,WG032,40.644102718034645,-111.505628746172,7565.4,3,76.8,59.6,68.1,0.0,0.0,0.0
2026-08-26,Flat Iron,Park City / PCMR,WG036,40.62696082564811,-111.51719430456902,8393.5,3,73.6,58.7,65.5,0.0,0.0,0.0
2026-08-26,Flying Dog,Jeremy Ranch / Glenwild,WG087,40.77237660098178,-111.54161762597796,7321.2,3,80.0,58.8,69.1,0.0,0.0,0.0
2026-08-26,Forest Glen Trail,Park City / PCMR,WG022,40.61089948644494,-111.5784844905115,8765.8,3,72.5,54.7,63.1,0.0,0.0,0.0
2026-08-26,Fox Tail Trail,Round Valley,WG045,40.66564803508002,-111.47503092801368,7133.0,3,79.7,57.6,69.4,0.0,0.0,0.0
2026-08-26,Freemason,Park City / PCMR,WG046,40.65768683021079,-111.49819012622744,6949.6,3,81.1,58.9,70.7,0.0,0.0,0.0
2026-08-26,Full Steam Billy,Park City / PCMR,WG031,40.64842922650065,-111.4945100220623,7246.4,3,78.1,60.9,69.5,0.0,0.0,0.0
